Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386
Albania,ALB,"Population, total",SP.POP.TOTL,2866376
Algeria,DZA,"Population, total",SP.POP.TOTL,42228429
American Samoa,ASM,"Population, total",SP.POP.TOTL,55465
Andorra,AND,"Population, total",SP.POP.TOTL,77006
Angola,AGO,"Population, total",SP.POP.TOTL,30809762
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96286
Arab World,ARB,"Population, total",SP.POP.TOTL,419790588
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502
Armenia,ARM,"Population, total",SP.POP.TOTL,2951776
Aruba,ABW,"Population, total",SP.POP.TOTL,105845
Australia,AUS,"Population, total",SP.POP.TOTL,24992369
Austria,AUT,"Population, total",SP.POP.TOTL,8847037
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9942334
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,385640
Bahrain,BHR,"Population, total",SP.POP.TOTL,1569439
Bangladesh,BGD,"Population, total",SP.POP.TOTL,161356039
Barbados,BRB,"Population, total",SP.POP.TOTL,286641
Belarus,BLR,"Population, total",SP.POP.TOTL,9485386
Belgium,BEL,"Population, total",SP.POP.TOTL,11422068
Belize,BLZ,"Population, total",SP.POP.TOTL,383071
Benin,BEN,"Population, total",SP.POP.TOTL,11485048
Bermuda,BMU,"Population, total",SP.POP.TOTL,63968
Bhutan,BTN,"Population, total",SP.POP.TOTL,754394
Bolivia,BOL,"Population, total",SP.POP.TOTL,11353142
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3323929
Botswana,BWA,"Population, total",SP.POP.TOTL,2254126
Brazil,BRA,"Population, total",SP.POP.TOTL,209469333
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29802
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,428962
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7024216
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19751535
Burundi,BDI,"Population, total",SP.POP.TOTL,11175378
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,543767
Cambodia,KHM,"Population, total",SP.POP.TOTL,16249798
Cameroon,CMR,"Population, total",SP.POP.TOTL,25216237
Canada,CAN,"Population, total",SP.POP.TOTL,37058856
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7358965
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64174
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4666377
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102511922
Chad,TCD,"Population, total",SP.POP.TOTL,15477751
Channel Islands,CHI,"Population, total",SP.POP.TOTL,170499
Chile,CHL,"Population, total",SP.POP.TOTL,18729160
China,CHN,"Population, total",SP.POP.TOTL,1392730000
Colombia,COL,"Population, total",SP.POP.TOTL,49648685
Comoros,COM,"Population, total",SP.POP.TOTL,832322
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,84068091
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5244363
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4999441
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25069229
Croatia,HRV,"Population, total",SP.POP.TOTL,4089400
Cuba,CUB,"Population, total",SP.POP.TOTL,11338138
Curacao,CUW,"Population, total",SP.POP.TOTL,159849
Cyprus,CYP,"Population, total",SP.POP.TOTL,1189265
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10625695
Denmark,DNK,"Population, total",SP.POP.TOTL,5797446
Djibouti,DJI,"Population, total",SP.POP.TOTL,958920
Dominica,DMA,"Population, total",SP.POP.TOTL,71625
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10627165
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3249140605
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2328220870
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2081651801
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2056064424
Ecuador,ECU,"Population, total",SP.POP.TOTL,17084357
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,98423595
El Salvador,SLV,"Population, total",SP.POP.TOTL,6420744
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1308974
Eritrea,ERI,"Population, total",SP.POP.TOTL,..
Estonia,EST,"Population, total",SP.POP.TOTL,1320884
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1136191
Ethiopia,ETH,"Population, total",SP.POP.TOTL,109224559
Euro area,EMU,"Population, total",SP.POP.TOTL,341783171
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,918793590
